测点id,测点名称,数值类型,单位,用户,用户代码,通讯协议,测点类型,参数1,参数2,参数3,数据来源用户,数据来源用户代码,数据来源用户通讯协议,数据来源测点,数据去向用户,数据去向用户代码,数据去向用户通讯协议,数据去向测点,参数1,参数2,参数3
FZXT10024-b,油门输入输出差报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,油门输入输出差报警,1,S,FZXT10024_B,
FZXT10025-b,FCV001输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,FCV001输入输出差值报警,,,,
FZXT10025-b,FCV001输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,FCV001输入输出差值报警,1,S,FZXT10025_B,
FZXT10026-b,FCV002输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,FCV002输入输出差值报警,,,,
FZXT10026-b,FCV002输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,FCV002输入输出差值报警,1,S,FZXT10026_B,
FZXT10027-b,FT005流量超限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,FT005流量超限报警,,,,
FZXT10027-b,FT005流量超限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,FT005流量超限报警,1,S,FZXT10027_B,
FZXT10028-b,低压泵后压力上限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,低压泵后压力上限报警,,,,
FZXT10028-b,低压泵后压力上限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压泵后压力上限报警,1,S,FZXT10028_B,
FZXT10029-b,被试泵入口压力下限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵入口压力下限报警,,,,
FZXT10029-b,被试泵入口压力下限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口压力下限报警,1,S,FZXT10029_B,
FZXT10030-b,被试泵出口压力上限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵出口压力上限报警,,,,
FZXT10030-b,被试泵出口压力上限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵出口压力上限报警,1,S,FZXT10030_B,
FZXT10031-b,自动油滤压力上限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,自动油滤压力上限报警,,,,
FZXT10031-b,自动油滤压力上限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,自动油滤压力上限报警,1,S,FZXT10031_B,
FZXT10032-b,冷却水压力下限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,冷却水压力下限报警,,,,
FZXT10032-b,冷却水压力下限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,冷却水压力下限报警,1,S,FZXT10032_B,
FZXT10033-b,被试泵转速超范围报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵转速超范围报警,,,,
FZXT10033-b,被试泵转速超范围报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵转速超范围报警,1,S,FZXT10033_B,
FZXT10034-b,转速输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,转速输入输出差值报警,,,,
FZXT10034-b,转速输入输出差值报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,转速输入输出差值报警,1,S,FZXT10034_B,
FZXT10035-b,被试泵入口温度上限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵入口温度上限报警,,,,
FZXT10035-b,被试泵入口温度上限报警,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口温度上限报警,1,S,FZXT10035_B,
FZXT10036-d,低压电动调节阀输出,double,%,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,低压电动调节阀输出,,,,
FZXT10036-d,低压电动调节阀输出,double,%,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压电动调节阀输出,1,S,FZXT10036_D,
FZXT10037-d,高压电动调节阀输出,double,%,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,高压电动调节阀输出,,,,
FZXT10037-d,高压电动调节阀输出,double,%,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,高压电动调节阀输出,1,S,FZXT10037_D,
FZXT10038-d,油门位置反馈,double,°,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,油门位置反馈,,,,
FZXT10038-d,油门位置反馈,double,°,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,油门位置反馈,1,S,FZXT10038_D,
FZXT10039-d,被试泵转速,double,r/min,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵转速,,,,
FZXT10039-d,被试泵转速,double,r/min,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵转速,1,S,FZXT10039_D,
FZXT10040-b,低压供油系统截止阀,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,低压供油系统截止阀,,,,
FZXT10040-b,低压供油系统截止阀,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压供油系统截止阀,1,S,FZXT10040_B,
FZXT10041-b,冷却水供水手动截止阀,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,冷却水供水手动截止阀,,,,
FZXT10041-b,冷却水供水手动截止阀,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,冷却水供水手动截止阀,1,S,FZXT10041_B,
FZXT10042-b,起动油路燃油电磁阀,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,起动油路燃油电磁阀,,,,
FZXT10042-b,起动油路燃油电磁阀,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,起动油路燃油电磁阀,1,S,FZXT10042_B,
FZXT10043-b,故障排放阀,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,故障排放阀,,,,
FZXT10043-b,故障排放阀,bool,/,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,故障排放阀,1,S,FZXT10043_B,
FZXT20001-d,低压泵后压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,低压泵后压力,,,,
FZXT20001-d,低压泵后压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,低压泵后压力,1,S,FZXT20001_D,
FZXT20002-d,被试泵入口压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,被试泵入口压力,,,,
FZXT20002-d,被试泵入口压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,被试泵入口压力,1,S,FZXT20002_D,
FZXT20003-d,燃油滤前压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,燃油滤前压力,,,,
FZXT20003-d,燃油滤前压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,燃油滤前压力,1,S,FZXT20003_D,
FZXT20004-d,燃油泵出口压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,燃油泵出口压力,,,,
FZXT20004-d,燃油泵出口压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,燃油泵出口压力,1,S,FZXT20004_D,
FZXT20005-d,调节器出口压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,调节器出口压力,,,,
FZXT20005-d,调节器出口压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,调节器出口压力,1,S,FZXT20005_D,
FZXT20006-d,1#油路压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,1#油路压力,,,,
FZXT20006-d,1#油路压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,1#油路压力,1,S,FZXT20006_D,
FZXT20007-d,2#管路压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,2#管路压力,,,,
FZXT20007-d,2#管路压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,2#管路压力,1,S,FZXT20007_D,
FZXT20008-d,喷嘴后压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,喷嘴后压力,,,,
FZXT20008-d,喷嘴后压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,虚拟操作,XNCZ,OPC UA客户端,喷嘴后压力,1,S,FZXT20008_D,
FZXT20009-d,起动油路燃油压力,double,MPa,仿真系统,FZXT,TCP,输出,,,,,,,,三维感知,SWGZ,TCP,起动油路燃油压力,,,,
